PostalCode,Address,Route_January,Route_July,LeafYardWaste_January,LeafYardWaste_July,PropertyType
P6A 5K8,1363 Second Line West,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6A 0B2,98 Palomino Drive,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6A 0B4,92 Pinto Drive,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 5S4,40 Broos Road,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6A 5K8,1085 Third Line West,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6A 0B2,141 Palomino Drive,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 2M1,1275 Second Line West,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 5R3,35 Rosita Street,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 1P1,98 Ellis Road,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 1N5,95 Ransome Drive,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 1N5,91 Ransome Drive,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6A 5K8,1279 Third Line West,Friday,Friday,"Route ""B""","Route ""B""",Non-residential
P6C 2L8,1176 Second Line West,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6A 0B1,23 Appaloosa Avenue,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 1N5,103 Ransome Drive,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 1P1,88 Ellis Road,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6A 0B1,16 Palomino Drive,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 1N2,28 Ransome Drive,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6A 0B1,45 Palomino Drive,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 2N2,11 Winfield Drive,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 1N2,24 Ransome Drive,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 1M7,1154 Wallace Terrace,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 5R7,339 Nixon Road,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 1N8,44 Ellis Road,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 1N4,64 Ransome Drive,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6A 0B2,99 Palomino Drive,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 1N8,48 Ellis Road,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6A 0B1,10 Appaloosa Avenue,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 2L9,1127 Second Line West,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 1M8,1155 Wallace Terrace,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 5R9,406 Nixon Road,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6B 6K6,71 Parkview Court,Monday,Monday,"Route ""B""","Route ""B""",Residential
P6B 6L3,21 Park Place Drive,Monday,Monday,"Route ""B""","Route ""B""",Residential
P6B 6L3,23 Park Place Drive,Monday,Monday,"Route ""B""","Route ""B""",Residential
P6B 6L3,19 Park Place Drive,Monday,Monday,"Route ""B""","Route ""B""",Residential
P6B 6L3,17 Park Place Drive,Monday,Monday,"Route ""B""","Route ""B""",Residential
P6B 6L3,27 Park Place Drive,Monday,Monday,"Route ""B""","Route ""B""",Residential
P6B 6L3,29 Park Place Drive,Monday,Monday,"Route ""B""","Route ""B""",Residential
P6B 6L3,31 Park Place Drive,Monday,Monday,"Route ""B""","Route ""B""",Residential
P6B 6L3,33 Park Place Drive,Monday,Monday,"Route ""B""","Route ""B""",Residential
P6B 6L3,39 Park Place Drive,Monday,Monday,"Route ""B""","Route ""B""",Residential
P6B 6L3,41 Park Place Drive,Monday,Monday,"Route ""B""","Route ""B""",Residential
P6C 2M2,1292 Second Line West,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 5R7,345 Nixon Road,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6A 5K8,1343 Second Line West,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6A 0B4,111 Pinto Drive,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6A 5K8,795 Third Line West,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 2M2,1280 Second Line West,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 1N5,87 Ransome Drive,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 5P8,291 Allen's Side Road,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 6G4,27 Sunset Court,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 5R7,295 Nixon Road,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 2L8,1160 Second Line West,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6A 5K8,525 Allen's Side Road,Friday,Friday,"Route ""B""","Route ""B""",Non-residential
P6A 0B2,123 Palomino Drive,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 5R8,278 Nixon Road,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 1N4,80 Ransome Drive,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 1N6,108 Ransome Drive,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 5R7,289 Nixon Road,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 6B8,84 Anderson Road,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6A 0B1,17 Palomino Drive,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 5R7,273 Nixon Road,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6A 5K8,955 Third Line West,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 5R7,299 Nixon Road,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6A 0B2,86 Palomino Drive,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 5P6,202 Allen's Side Road,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6A 5K8,1267 Third Line West,Friday,Friday,"Route ""B""","Route ""B""",Non-residential
P6C 5R8,286 Nixon Road,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6A 0B2,153 Palomino Drive,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6A 5K8,939 Third Line West,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 5J9,389 Borden Avenue,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6A 0B4,103 Pinto Drive,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 5S1,23 Anderson Road,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 1N9,75 Ellis Road,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 1N2,16 Ransome Drive,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 5P7,239 Allen's Side Road,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 1N9,71 Ellis Road,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 1N7,33 Ellis Road,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 2M7,22 Wilks Street,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 1R1,161 Asquith Street,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6A 0B4,87 Pinto Drive,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 5R8,290 Nixon Road,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 1X6,148 East Balfour Street,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 5P4,105 Allen's Side Road,Friday,Friday,"Route ""B""","Route ""B""",Non-residential
P6C 5S1,29 Anderson Road,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6A 0B4,73 Pinto Drive,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 5R8,310 Nixon Road,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 1N6,104 Ransome Drive,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 5R9,340 Nixon Road,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6A 5K8,1415 Third Line West,Friday,Friday,"Route ""B""","Route ""B""",Non-residential
P6C 1N2,8 Ransome Drive,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6A 5K8,734 Allen's Side Road,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6A 0B3,87 Palomino Drive,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 1M8,1173 Wallace Terrace,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6A 0B1,58 Palomino Drive,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 1N2,6 Ransome Drive,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 5P4,155 Allen's Side Road,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6A 5K8,618 Allen's Side Road,Friday,Friday,"Route ""B""","Route ""B""",Non-residential
P6A 0B1,11 Palomino Drive,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 5S1,37 Anderson Road,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6A 5K8,793 Allen's Side Road,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6A 5K8,465 Allen's Side Road,Friday,Friday,"Route ""B""","Route ""B""",Non-residential
P6C 5S2,17 Broos Road,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 5R4,456 Royce Avenue,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6A 0B1,5 Palomino Drive,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6A 0B2,132 Palomino Drive,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 5P4,117 Allen's Side Road,Friday,Friday,"Route ""B""","Route ""B""",Non-residential
P6A 0B2,92 Palomino Drive,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 1N4,60 Ransome Drive,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6A 5K8,535 Allen's Side Road,Friday,Friday,"Route ""B""","Route ""B""",Non-residential
P6A 0B2,105 Palomino Drive,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6A 0B1,4 Palomino Drive,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 1N5,101 Ransome Drive,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6A 0B1,24 Appaloosa Avenue,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 1N4,54 Ransome Drive,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 1N2,36 Ransome Drive,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6A 0B2,147 Palomino Drive,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6A 0B1,63 Palomino Drive,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 2M1,1281 Second Line West,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 1M7,1144 Wallace Terrace,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 1N2,2 Ransome Drive,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6A 0B3,30 Appaloosa Avenue,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 1N5,99 Ransome Drive,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 6B8,68 Anderson Road,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6A 5K8,750 Allen's Side Road,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 5R7,353 Nixon Road,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6A 5K8,915 Third Line West,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 6B8,50 Anderson Road,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 1N9,87 Ellis Road,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 5R4,460 Royce Avenue,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 5R7,415 Nixon Road,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6A 5K8,537 Allen's Side Road,Friday,Friday,"Route ""B""","Route ""B""",Non-residential
P6C 1N7,9 Ellis Road,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 5R7,409 Nixon Road,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6A 0B2,111 Palomino Drive,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 2L3,842 Second Line West,Friday,Friday,"Route ""B""","Route ""B""",Residential
P6C 5R7,323 Nixon Road,Friday,Friday,"Route ""B""","Route ""B""",Residential
